annex,country,regulated area,regulated gear,specon,vessel length,year,measure calculation
CEL1,FRA,7BCEFGHJK,TR3,NONE,U10M,2015,1367.82
CEL1,FRA,7BCEFGHJK,TR3,NONE,O15M,2015,10113.65
CEL1,FRA,7BCEFGHJK,TR3,NONE,O10T15M,2015,13692.58
CEL1,ENG,7BCEFGHJK,TR3,NONE,O10T15M,2015,1255
CEL1,SCO,7BCEFGHJK,TR2,NONE,U10M,2015,223.8
CEL1,NIR,7BCEFGHJK,TR2,NONE,U10M,2015,131
CEL1,FRA,7BCEFGHJK,TR2,NONE,U10M,2015,35484.87
CEL1,ENG,7BCEFGHJK,TR2,NONE,U10M,2015,370879.31
CEL1,SCO,7BCEFGHJK,TR2,NONE,O15M,2015,111329.15
CEL1,NLD,7BCEFGHJK,TR2,NONE,O15M,2015,40048
CEL1,NIR,7BCEFGHJK,TR2,NONE,O15M,2015,55024.39
CEL1,IRL,7BCEFGHJK,TR2,NONE,O15M,2015,3953267
CEL1,GBJ,7BCEFGHJK,TR2,NONE,O15M,2015,35640
CEL1,FRA,7BCEFGHJK,TR2,NONE,O15M,2015,7255070.39
CEL1,ENG,7BCEFGHJK,TR2,NONE,O15M,2015,226586.03
CEL1,BEL,7BCEFGHJK,TR2,NONE,O15M,2015,251554
CEL1,IRL,7BCEFGHJK,TR2,NONE,O10T15M,2015,352446
CEL1,GBG,7BCEFGHJK,TR2,NONE,O10T15M,2015,40001
CEL1,FRA,7BCEFGHJK,TR2,NONE,O10T15M,2015,889517.77
CEL1,ENG,7BCEFGHJK,TR2,NONE,O10T15M,2015,1369832.33
CEL1,NIR,7BCEFGHJK,TR1,NONE,U10M,2015,1441
CEL1,ENG,7BCEFGHJK,TR1,NONE,U10M,2015,57154.34
CEL1,SCO,7BCEFGHJK,TR1,NONE,O15M,2015,408966.71
CEL1,NIR,7BCEFGHJK,TR1,NONE,O15M,2015,77008.75
CEL1,IRL,7BCEFGHJK,TR1,NONE,O15M,2015,5193128
CEL1,FRA,7BCEFGHJK,TR1,NONE,O15M,2015,8964005.99
CEL1,ESP,7BCEFGHJK,TR1,NONE,O15M,2015,5402355.89
CEL1,ENG,7BCEFGHJK,TR1,NONE,O15M,2015,1581667.79
CEL1,IRL,7BCEFGHJK,TR1,NONE,O10T15M,2015,96214
CEL1,FRA,7BCEFGHJK,TR1,NONE,O10T15M,2015,1856.89
CEL1,ENG,7BCEFGHJK,TR1,NONE,O10T15M,2015,189949.99
CEL1,SCO,7BCEFGHJK,POTS,NONE,U10M,2015,37
CEL1,NIR,7BCEFGHJK,POTS,NONE,U10M,2015,11723
CEL1,GBJ,7BCEFGHJK,POTS,NONE,U10M,2015,426.62
CEL1,GBG,7BCEFGHJK,POTS,NONE,U10M,2015,147.2
CEL1,FRA,7BCEFGHJK,POTS,NONE,U10M,2015,1239509.11
CEL1,ENG,7BCEFGHJK,POTS,NONE,U10M,2015,1293861.66
CEL1,IRL,7BCEFGHJK,POTS,NONE,O15M,2015,112
CEL1,IOM,7BCEFGHJK,POTS,NONE,O15M,2015,21976
CEL1,GBG,7BCEFGHJK,POTS,NONE,O15M,2015,49798.69
CEL1,FRA,7BCEFGHJK,POTS,NONE,O15M,2015,363927.86
CEL1,ENG,7BCEFGHJK,POTS,NONE,O15M,2015,326554.74
CEL1,DEU,7BCEFGHJK,POTS,NONE,O15M,2015,25371
CEL1,SCO,7BCEFGHJK,POTS,NONE,O10T15M,2015,94
CEL1,NIR,7BCEFGHJK,POTS,NONE,O10T15M,2015,1590
CEL1,IRL,7BCEFGHJK,POTS,NONE,O10T15M,2015,239697
CEL1,GBG,7BCEFGHJK,POTS,NONE,O10T15M,2015,46582.37
CEL1,FRA,7BCEFGHJK,POTS,NONE,O10T15M,2015,1422253.72
CEL1,ENG,7BCEFGHJK,POTS,NONE,O10T15M,2015,1012600.99
CEL1,FRA,7BCEFGHJK,PEL_TRAWL,NONE,U10M,2015,2221.07
CEL1,ENG,7BCEFGHJK,PEL_TRAWL,NONE,U10M,2015,120
CEL1,LTU,7BCEFGHJK,PEL_TRAWL,NONE,O40M,2015,274020
CEL1,SCO,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2015,663616.52
CEL1,NLD,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2015,2529484
CEL1,NIR,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2015,146125
CEL1,IRL,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2015,2538350
CEL1,FRA,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2015,1221186.72
CEL1,ESP,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2015,4873.05
CEL1,ENG,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2015,456351.99
CEL1,DNK,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2015,553132.13
CEL1,DEU,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2015,1061230
CEL1,IRL,7BCEFGHJK,PEL_TRAWL,NONE,O10T15M,2015,9669
CEL1,FRA,7BCEFGHJK,PEL_TRAWL,NONE,O10T15M,2015,4248.78
CEL1,ENG,7BCEFGHJK,PEL_TRAWL,NONE,O10T15M,2015,59535
CEL1,FRA,7BCEFGHJK,PEL_SEINE,NONE,O15M,2015,307629.46
CEL1,ESP,7BCEFGHJK,PEL_SEINE,NONE,O15M,2015,7217.71
CEL1,FRA,7BCEFGHJK,PEL_SEINE,NONE,O10T15M,2015,35265.29
CEL1,ENG,7BCEFGHJK,PEL_SEINE,NONE,O10T15M,2015,54956.04
CEL1,FRA,7BCEFGHJK,OTTER,NONE,U10M,2015,8145.06
CEL1,ENG,7BCEFGHJK,OTTER,NONE,U10M,2015,75.59
CEL1,SCO,7BCEFGHJK,OTTER,NONE,O15M,2015,35536
CEL1,IRL,7BCEFGHJK,OTTER,NONE,O15M,2015,1200
CEL1,FRA,7BCEFGHJK,OTTER,NONE,O15M,2015,220974.53
CEL1,ENG,7BCEFGHJK,OTTER,NONE,O15M,2015,27591.94
CEL1,IRL,7BCEFGHJK,OTTER,NONE,O10T15M,2015,290
CEL1,FRA,7BCEFGHJK,OTTER,NONE,O10T15M,2015,36141.32
CEL1,ENG,7BCEFGHJK,OTTER,NONE,O10T15M,2015,1331.5
CEL1,SCO,7BCEFGHJK,NONE,NONE,U10M,2015,138
CEL1,IRL,7BCEFGHJK,NONE,NONE,O15M,2015,32338
CEL1,DNK,7BCEFGHJK,NONE,NONE,O15M,2015,4499
CEL1,FRA,7BCEFGHJK,LL1,NONE,U10M,2015,559712.65
CEL1,ENG,7BCEFGHJK,LL1,NONE,U10M,2015,405960.41
CEL1,SCO,7BCEFGHJK,LL1,NONE,O15M,2015,427446.14
CEL1,FRA,7BCEFGHJK,LL1,NONE,O15M,2015,1449283.88
CEL1,ESP,7BCEFGHJK,LL1,NONE,O15M,2015,3927197.84
CEL1,ENG,7BCEFGHJK,LL1,NONE,O15M,2015,195720.66
CEL1,IRL,7BCEFGHJK,LL1,NONE,O10T15M,2015,8478
CEL1,FRA,7BCEFGHJK,LL1,NONE,O10T15M,2015,85186.76
CEL1,ENG,7BCEFGHJK,LL1,NONE,O10T15M,2015,38994
CEL1,FRA,7BCEFGHJK,GT1,NONE,U10M,2015,174563.83
CEL1,ENG,7BCEFGHJK,GT1,NONE,U10M,2015,100
CEL1,IRL,7BCEFGHJK,GT1,NONE,O15M,2015,18794
CEL1,FRA,7BCEFGHJK,GT1,NONE,O15M,2015,425605.38
CEL1,ENG,7BCEFGHJK,GT1,NONE,O15M,2015,160872.91
CEL1,IRL,7BCEFGHJK,GT1,NONE,O10T15M,2015,17001
CEL1,FRA,7BCEFGHJK,GT1,NONE,O10T15M,2015,474913.42
CEL1,ENG,7BCEFGHJK,GT1,NONE,O10T15M,2015,44378.11
CEL1,SCO,7BCEFGHJK,GN1,NONE,U10M,2015,29.84
CEL1,GBJ,7BCEFGHJK,GN1,NONE,U10M,2015,283.47
CEL1,FRA,7BCEFGHJK,GN1,NONE,U10M,2015,217545.83
CEL1,ENG,7BCEFGHJK,GN1,NONE,U10M,2015,607867.17
CEL1,SCO,7BCEFGHJK,GN1,NONE,O15M,2015,258628.04
CEL1,IRL,7BCEFGHJK,GN1,NONE,O15M,2015,382305
CEL1,FRA,7BCEFGHJK,GN1,NONE,O15M,2015,2013526.99
CEL1,ESP,7BCEFGHJK,GN1,NONE,O15M,2015,109538.52
CEL1,ENG,7BCEFGHJK,GN1,NONE,O15M,2015,571899.82
CEL1,DEU,7BCEFGHJK,GN1,NONE,O15M,2015,110263
CEL1,IRL,7BCEFGHJK,GN1,NONE,O10T15M,2015,135958
CEL1,FRA,7BCEFGHJK,GN1,NONE,O10T15M,2015,343230.09
CEL1,ENG,7BCEFGHJK,GN1,NONE,O10T15M,2015,150060.62
CEL1,SCO,7BCEFGHJK,DREDGE,NONE,U10M,2015,783.3
CEL1,NIR,7BCEFGHJK,DREDGE,NONE,U10M,2015,5697.75
CEL1,FRA,7BCEFGHJK,DREDGE,NONE,U10M,2015,487924.28
CEL1,ENG,7BCEFGHJK,DREDGE,NONE,U10M,2015,118762.77
CEL1,SCO,7BCEFGHJK,DREDGE,NONE,O15M,2015,488030.86
CEL1,IRL,7BCEFGHJK,DREDGE,NONE,O15M,2015,140518
CEL1,FRA,7BCEFGHJK,DREDGE,NONE,O15M,2015,411335.69
CEL1,ENG,7BCEFGHJK,DREDGE,NONE,O15M,2015,929621.06
CEL1,BEL,7BCEFGHJK,DREDGE,NONE,O15M,2015,82670
CEL1,SCO,7BCEFGHJK,DREDGE,NONE,O10T15M,2015,17348.5
CEL1,NIR,7BCEFGHJK,DREDGE,NONE,O10T15M,2015,22787.2
CEL1,IRL,7BCEFGHJK,DREDGE,NONE,O10T15M,2015,28012
CEL1,FRA,7BCEFGHJK,DREDGE,NONE,O10T15M,2015,1566220.53
CEL1,ENG,7BCEFGHJK,DREDGE,NONE,O10T15M,2015,558789.58
CEL1,ENG,7BCEFGHJK,DEM_SEINE,NONE,U10M,2015,1685.74
CEL1,ENG,7BCEFGHJK,DEM_SEINE,NONE,O10T15M,2015,26461
CEL1,IRL,7BCEFGHJK,BT2,NONE,O15M,2015,1055727
CEL1,FRA,7BCEFGHJK,BT2,NONE,O15M,2015,66652.75
CEL1,ENG,7BCEFGHJK,BT2,NONE,O15M,2015,3698662.89
CEL1,BEL,7BCEFGHJK,BT2,NONE,O15M,2015,2465594
CEL1,FRA,7BCEFGHJK,BT2,NONE,O10T15M,2015,22769.28
CEL1,ENG,7BCEFGHJK,BT2,NONE,O10T15M,2015,51071.25
CEL1,ENG,7BCEFGHJK,BEAM,NONE,U10M,2015,442
CEL1,ENG,7BCEFGHJK,BEAM,NONE,O15M,2015,3787.89
CEL1,BEL,7BCEFGHJK,BEAM,NONE,O15M,2015,54026
CEL1,FRA,7BCEFGHJK,TR3,NONE,U10M,2014,1764.1
CEL1,ENG,7BCEFGHJK,TR3,NONE,U10M,2014,1044.4
CEL1,FRA,7BCEFGHJK,TR3,NONE,O15M,2014,12511.8
CEL1,ENG,7BCEFGHJK,TR3,NONE,O15M,2014,420
CEL1,IRL,7BCEFGHJK,TR3,NONE,O10T15M,2014,90
CEL1,FRA,7BCEFGHJK,TR3,NONE,O10T15M,2014,14725.9
CEL1,ENG,7BCEFGHJK,TR3,NONE,O10T15M,2014,3594.2
CEL1,FRA,7BCEFGHJK,TR2,NONE,U10M,2014,60404.77
CEL1,ENG,7BCEFGHJK,TR2,NONE,U10M,2014,395142.47
CEL1,SCO,7BCEFGHJK,TR2,NONE,O15M,2014,134759.16
CEL1,NLD,7BCEFGHJK,TR2,NONE,O15M,2014,17096
CEL1,NIR,7BCEFGHJK,TR2,NONE,O15M,2014,37919.55
CEL1,IRL,7BCEFGHJK,TR2,NONE,O15M,2014,3727997
CEL1,GBJ,7BCEFGHJK,TR2,NONE,O15M,2014,29700
CEL1,FRA,7BCEFGHJK,TR2,NONE,O15M,2014,6104459.07
CEL1,ESP,7BCEFGHJK,TR2,NONE,O15M,2014,780731
CEL1,ENG,7BCEFGHJK,TR2,NONE,O15M,2014,212566.3
CEL1,BEL,7BCEFGHJK,TR2,NONE,O15M,2014,294997
CEL1,IRL,7BCEFGHJK,TR2,NONE,O10T15M,2014,358295
CEL1,GBG,7BCEFGHJK,TR2,NONE,O10T15M,2014,5746
CEL1,FRA,7BCEFGHJK,TR2,NONE,O10T15M,2014,844435.85
CEL1,ENG,7BCEFGHJK,TR2,NONE,O10T15M,2014,1407254.82
CEL1,FRA,7BCEFGHJK,TR1,NONE,U10M,2014,872
CEL1,ENG,7BCEFGHJK,TR1,NONE,U10M,2014,49720.16
CEL1,SCO,7BCEFGHJK,TR1,NONE,O15M,2014,239337.56
CEL1,NIR,7BCEFGHJK,TR1,NONE,O15M,2014,60733.2
CEL1,IRL,7BCEFGHJK,TR1,NONE,O15M,2014,5669469
CEL1,FRA,7BCEFGHJK,TR1,NONE,O15M,2014,9657607.34
CEL1,ESP,7BCEFGHJK,TR1,NONE,O15M,2014,1622789.63
CEL1,ENG,7BCEFGHJK,TR1,NONE,O15M,2014,1587084.26
CEL1,IRL,7BCEFGHJK,TR1,NONE,O10T15M,2014,162432
CEL1,FRA,7BCEFGHJK,TR1,NONE,O10T15M,2014,507.71
CEL1,ENG,7BCEFGHJK,TR1,NONE,O10T15M,2014,189167.83
CEL1,SCO,7BCEFGHJK,POTS,NONE,U10M,2014,188
CEL1,NIR,7BCEFGHJK,POTS,NONE,U10M,2014,1656
CEL1,FRA,7BCEFGHJK,POTS,NONE,U10M,2014,1425476.27
CEL1,ENG,7BCEFGHJK,POTS,NONE,U10M,2014,1308479.78
CEL1,IRL,7BCEFGHJK,POTS,NONE,O15M,2014,2238
CEL1,IOM,7BCEFGHJK,POTS,NONE,O15M,2014,49200
CEL1,GBG,7BCEFGHJK,POTS,NONE,O15M,2014,47039.98
CEL1,FRA,7BCEFGHJK,POTS,NONE,O15M,2014,459438.39
CEL1,ENG,7BCEFGHJK,POTS,NONE,O15M,2014,372887.28
CEL1,DEU,7BCEFGHJK,POTS,NONE,O15M,2014,18482
CEL1,SCO,7BCEFGHJK,POTS,NONE,O10T15M,2014,263
CEL1,IRL,7BCEFGHJK,POTS,NONE,O10T15M,2014,258719
CEL1,GBG,7BCEFGHJK,POTS,NONE,O10T15M,2014,49427.83
CEL1,FRA,7BCEFGHJK,POTS,NONE,O10T15M,2014,1406804.97
CEL1,ENG,7BCEFGHJK,POTS,NONE,O10T15M,2014,896738.07
CEL1,FRA,7BCEFGHJK,PEL_TRAWL,NONE,U10M,2014,2548.23
CEL1,LTU,7BCEFGHJK,PEL_TRAWL,NONE,O40M,2014,759320
CEL1,SCO,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2014,543831.22
CEL1,NLD,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2014,2255052
CEL1,NIR,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2014,146767.52
CEL1,IRL,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2014,3237808
CEL1,FRA,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2014,1828637.64
CEL1,ESP,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2014,11466
CEL1,ENG,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2014,606779.13
CEL1,DNK,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2014,1282334.04
CEL1,DEU,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2014,1710298
CEL1,IRL,7BCEFGHJK,PEL_TRAWL,NONE,O10T15M,2014,29087
CEL1,FRA,7BCEFGHJK,PEL_TRAWL,NONE,O10T15M,2014,5601.03
CEL1,ENG,7BCEFGHJK,PEL_TRAWL,NONE,O10T15M,2014,67534.2
CEL1,ENG,7BCEFGHJK,PEL_SEINE,NONE,U10M,2014,104
CEL1,FRA,7BCEFGHJK,PEL_SEINE,NONE,O15M,2014,378555.37
CEL1,ESP,7BCEFGHJK,PEL_SEINE,NONE,O15M,2014,39843.63
CEL1,FRA,7BCEFGHJK,PEL_SEINE,NONE,O10T15M,2014,54059.31
CEL1,ENG,7BCEFGHJK,PEL_SEINE,NONE,O10T15M,2014,20765.74
CEL1,FRA,7BCEFGHJK,OTTER,NONE,U10M,2014,11426.53
CEL1,ENG,7BCEFGHJK,OTTER,NONE,U10M,2014,672.1
CEL1,SCO,7BCEFGHJK,OTTER,NONE,O15M,2014,155186.92
CEL1,IRL,7BCEFGHJK,OTTER,NONE,O15M,2014,16836
CEL1,FRA,7BCEFGHJK,OTTER,NONE,O15M,2014,166937.4
CEL1,ESP,7BCEFGHJK,OTTER,NONE,O15M,2014,2876.06
CEL1,ENG,7BCEFGHJK,OTTER,NONE,O15M,2014,83995.51
CEL1,FRA,7BCEFGHJK,OTTER,NONE,O10T15M,2014,43581.93
CEL1,ENG,7BCEFGHJK,OTTER,NONE,O10T15M,2014,27774.62
CEL1,FRA,7BCEFGHJK,NONE,NONE,U10M,2014,116448.98
CEL1,SCO,7BCEFGHJK,NONE,NONE,O15M,2014,696.38
CEL1,IRL,7BCEFGHJK,NONE,NONE,O15M,2014,112880
CEL1,FRA,7BCEFGHJK,NONE,NONE,O10T15M,2014,41770.37
CEL1,SCO,7BCEFGHJK,LL1,NONE,U10M,2014,85.75
CEL1,FRA,7BCEFGHJK,LL1,NONE,U10M,2014,754696.85
CEL1,ENG,7BCEFGHJK,LL1,NONE,U10M,2014,441036.76
CEL1,SCO,7BCEFGHJK,LL1,NONE,O15M,2014,301810.46
CEL1,FRA,7BCEFGHJK,LL1,NONE,O15M,2014,1243966.4
CEL1,ESP,7BCEFGHJK,LL1,NONE,O15M,2014,2953151.81
CEL1,ENG,7BCEFGHJK,LL1,NONE,O15M,2014,175529.34
CEL1,IRL,7BCEFGHJK,LL1,NONE,O10T15M,2014,14489
CEL1,FRA,7BCEFGHJK,LL1,NONE,O10T15M,2014,124443.17
CEL1,ESP,7BCEFGHJK,LL1,NONE,O10T15M,2014,19909.69
CEL1,ENG,7BCEFGHJK,LL1,NONE,O10T15M,2014,39480.8
CEL1,FRA,7BCEFGHJK,GT1,NONE,U10M,2014,214978.97
CEL1,ENG,7BCEFGHJK,GT1,NONE,U10M,2014,175.88
CEL1,IRL,7BCEFGHJK,GT1,NONE,O15M,2014,18452
CEL1,FRA,7BCEFGHJK,GT1,NONE,O15M,2014,402249.31
CEL1,ENG,7BCEFGHJK,GT1,NONE,O15M,2014,150522.63
CEL1,IRL,7BCEFGHJK,GT1,NONE,O10T15M,2014,18620
CEL1,FRA,7BCEFGHJK,GT1,NONE,O10T15M,2014,506479.94
CEL1,ENG,7BCEFGHJK,GT1,NONE,O10T15M,2014,6817.83
CEL1,SCO,7BCEFGHJK,GN1,NONE,U10M,2014,391.5
CEL1,FRA,7BCEFGHJK,GN1,NONE,U10M,2014,279949.14
CEL1,ENG,7BCEFGHJK,GN1,NONE,U10M,2014,656652.83
CEL1,SCO,7BCEFGHJK,GN1,NONE,O15M,2014,421992.75
CEL1,IRL,7BCEFGHJK,GN1,NONE,O15M,2014,407153
CEL1,FRA,7BCEFGHJK,GN1,NONE,O15M,2014,1905606.92
CEL1,ESP,7BCEFGHJK,GN1,NONE,O15M,2014,65348.86
CEL1,ENG,7BCEFGHJK,GN1,NONE,O15M,2014,485336.69
CEL1,DEU,7BCEFGHJK,GN1,NONE,O15M,2014,131372
CEL1,IRL,7BCEFGHJK,GN1,NONE,O10T15M,2014,135007
CEL1,FRA,7BCEFGHJK,GN1,NONE,O10T15M,2014,413321.52
CEL1,ESP,7BCEFGHJK,GN1,NONE,O10T15M,2014,92.61
CEL1,ENG,7BCEFGHJK,GN1,NONE,O10T15M,2014,241830.72
CEL1,SCO,7BCEFGHJK,DREDGE,NONE,U10M,2014,1456
CEL1,FRA,7BCEFGHJK,DREDGE,NONE,U10M,2014,565665.03
CEL1,ENG,7BCEFGHJK,DREDGE,NONE,U10M,2014,91555.6
CEL1,SCO,7BCEFGHJK,DREDGE,NONE,O15M,2014,227109.94
CEL1,IRL,7BCEFGHJK,DREDGE,NONE,O15M,2014,99956
CEL1,FRA,7BCEFGHJK,DREDGE,NONE,O15M,2014,411709.64
CEL1,ENG,7BCEFGHJK,DREDGE,NONE,O15M,2014,729134.55
CEL1,BEL,7BCEFGHJK,DREDGE,NONE,O15M,2014,178331
CEL1,SCO,7BCEFGHJK,DREDGE,NONE,O10T15M,2014,17348.5
CEL1,IRL,7BCEFGHJK,DREDGE,NONE,O10T15M,2014,28600
CEL1,FRA,7BCEFGHJK,DREDGE,NONE,O10T15M,2014,1639962.01
CEL1,ENG,7BCEFGHJK,DREDGE,NONE,O10T15M,2014,559035.71
CEL1,ENG,7BCEFGHJK,DEM_SEINE,NONE,U10M,2014,389.84
CEL1,FRA,7BCEFGHJK,BT2,NONE,U10M,2014,704
CEL1,IRL,7BCEFGHJK,BT2,NONE,O15M,2014,1029046
CEL1,FRA,7BCEFGHJK,BT2,NONE,O15M,2014,31900.34
CEL1,ENG,7BCEFGHJK,BT2,NONE,O15M,2014,3753502.47
CEL1,BEL,7BCEFGHJK,BT2,NONE,O15M,2014,2240250
CEL1,FRA,7BCEFGHJK,BT2,NONE,O10T15M,2014,41271.9
CEL1,ENG,7BCEFGHJK,BT2,NONE,O10T15M,2014,48669.02
CEL1,ENG,7BCEFGHJK,BT1,NONE,O15M,2014,7229.12
CEL1,ENG,7BCEFGHJK,BEAM,NONE,O15M,2014,6066.94
CEL1,BEL,7BCEFGHJK,BEAM,NONE,O15M,2014,70598
CEL1,FRA,7BCEFGHJK,TR3,NONE,U10M,2013,15162.33
CEL1,ENG,7BCEFGHJK,TR3,NONE,U10M,2013,564
CEL1,IRL,7BCEFGHJK,TR3,NONE,O15M,2013,936
CEL1,FRA,7BCEFGHJK,TR3,NONE,O15M,2013,429
CEL1,IRL,7BCEFGHJK,TR3,NONE,O10T15M,2013,2221
CEL1,FRA,7BCEFGHJK,TR3,NONE,O10T15M,2013,6498.67
CEL1,ENG,7BCEFGHJK,TR3,NONE,O10T15M,2013,3459.8
CEL1,GBG,7BCEFGHJK,TR2,NONE,U10M,2013,171.58
CEL1,FRA,7BCEFGHJK,TR2,NONE,U10M,2013,68739.67
CEL1,ENG,7BCEFGHJK,TR2,NONE,U10M,2013,361603.31
CEL1,SCO,7BCEFGHJK,TR2,NONE,O15M,2013,310884.15
CEL1,NLD,7BCEFGHJK,TR2,NONE,O15M,2013,130151
CEL1,NIR,7BCEFGHJK,TR2,NONE,O15M,2013,62129.06
CEL1,IRL,7BCEFGHJK,TR2,NONE,O15M,2013,3908315
CEL1,GBJ,7BCEFGHJK,TR2,NONE,O15M,2013,33660
CEL1,FRA,7BCEFGHJK,TR2,NONE,O15M,2013,5833782.76
CEL1,ESP,7BCEFGHJK,TR2,NONE,O15M,2013,1082649.14
CEL1,ENG,7BCEFGHJK,TR2,NONE,O15M,2013,235348.49
CEL1,BEL,7BCEFGHJK,TR2,NONE,O15M,2013,396905
CEL1,IRL,7BCEFGHJK,TR2,NONE,O10T15M,2013,469285
CEL1,GBG,7BCEFGHJK,TR2,NONE,O10T15M,2013,1107.68
CEL1,FRA,7BCEFGHJK,TR2,NONE,O10T15M,2013,1155891.5
CEL1,ENG,7BCEFGHJK,TR2,NONE,O10T15M,2013,1092457.94
CEL1,SCO,7BCEFGHJK,TR1,NONE,U10M,2013,347.4
CEL1,FRA,7BCEFGHJK,TR1,NONE,U10M,2013,981
CEL1,ENG,7BCEFGHJK,TR1,NONE,U10M,2013,23943.54
CEL1,SCO,7BCEFGHJK,TR1,NONE,O15M,2013,287961.97
CEL1,NLD,7BCEFGHJK,TR1,NONE,O15M,2013,1500
CEL1,NIR,7BCEFGHJK,TR1,NONE,O15M,2013,58251.53
CEL1,IRL,7BCEFGHJK,TR1,NONE,O15M,2013,4823907
CEL1,FRA,7BCEFGHJK,TR1,NONE,O15M,2013,10373173.85
CEL1,ESP,7BCEFGHJK,TR1,NONE,O15M,2013,2366763.95
CEL1,ENG,7BCEFGHJK,TR1,NONE,O15M,2013,1629215.4
CEL1,BEL,7BCEFGHJK,TR1,NONE,O15M,2013,1326
CEL1,IRL,7BCEFGHJK,TR1,NONE,O10T15M,2013,87614
CEL1,FRA,7BCEFGHJK,TR1,NONE,O10T15M,2013,4170
CEL1,ENG,7BCEFGHJK,TR1,NONE,O10T15M,2013,289380.62
CEL1,SCO,7BCEFGHJK,POTS,NONE,U10M,2013,262
CEL1,GBG,7BCEFGHJK,POTS,NONE,U10M,2013,302.13
CEL1,FRA,7BCEFGHJK,POTS,NONE,U10M,2013,1514299.83
CEL1,ENG,7BCEFGHJK,POTS,NONE,U10M,2013,1161720.21
CEL1,IRL,7BCEFGHJK,POTS,NONE,O15M,2013,1231
CEL1,IOM,7BCEFGHJK,POTS,NONE,O15M,2013,58712
CEL1,GBG,7BCEFGHJK,POTS,NONE,O15M,2013,42381.12
CEL1,FRA,7BCEFGHJK,POTS,NONE,O15M,2013,358975.16
CEL1,ENG,7BCEFGHJK,POTS,NONE,O15M,2013,441244.02
CEL1,DEU,7BCEFGHJK,POTS,NONE,O15M,2013,21543
CEL1,SCO,7BCEFGHJK,POTS,NONE,O10T15M,2013,253.4
CEL1,IRL,7BCEFGHJK,POTS,NONE,O10T15M,2013,299754
CEL1,GBG,7BCEFGHJK,POTS,NONE,O10T15M,2013,42298.2
CEL1,FRA,7BCEFGHJK,POTS,NONE,O10T15M,2013,1374136.51
CEL1,ENG,7BCEFGHJK,POTS,NONE,O10T15M,2013,776367.32
CEL1,FRA,7BCEFGHJK,PEL_TRAWL,NONE,U10M,2013,1661.5
CEL1,SCO,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2013,239380.33
CEL1,NLD,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2013,5737195
CEL1,NIR,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2013,61895.44
CEL1,IRL,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2013,3503421
CEL1,FRA,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2013,1739084.5
CEL1,ENG,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2013,558581.38
CEL1,DNK,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2013,1029986.92
CEL1,DEU,7BCEFGHJK,PEL_TRAWL,NONE,O15M,2013,1625536
CEL1,IRL,7BCEFGHJK,PEL_TRAWL,NONE,O10T15M,2013,20153
CEL1,FRA,7BCEFGHJK,PEL_TRAWL,NONE,O10T15M,2013,16533.33
CEL1,ENG,7BCEFGHJK,PEL_TRAWL,NONE,O10T15M,2013,66716.5
CEL1,FRA,7BCEFGHJK,PEL_SEINE,NONE,U10M,2013,1000
CEL1,FRA,7BCEFGHJK,PEL_SEINE,NONE,O15M,2013,519749.33
CEL1,ESP,7BCEFGHJK,PEL_SEINE,NONE,O15M,2013,4796.61
CEL1,FRA,7BCEFGHJK,PEL_SEINE,NONE,O10T15M,2013,86280
CEL1,ENG,7BCEFGHJK,PEL_SEINE,NONE,O10T15M,2013,9997.44
CEL1,FRA,7BCEFGHJK,OTTER,NONE,U10M,2013,15608.5
CEL1,ENG,7BCEFGHJK,OTTER,NONE,U10M,2013,1779.62
CEL1,SCO,7BCEFGHJK,OTTER,NONE,O15M,2013,333312.96
CEL1,IRL,7BCEFGHJK,OTTER,NONE,O15M,2013,4689
CEL1,FRA,7BCEFGHJK,OTTER,NONE,O15M,2013,163283
CEL1,ESP,7BCEFGHJK,OTTER,NONE,O15M,2013,2645.27
CEL1,ENG,7BCEFGHJK,OTTER,NONE,O15M,2013,6152.32
CEL1,IRL,7BCEFGHJK,OTTER,NONE,O10T15M,2013,397
